Arttırılabilir Azami Bellek:,Bağlantı Girişleri:,Bağlantılar:,Cihaz Ağırlığı:,Dokunmatik Ekran:,Ekran Boyutu:,Ekran Kartı Bellek Tipi:,Ekran Kartı Hafızası:,Ekran Kartı Tipi:,Ekran Kartı:,Ekran Özelliği:,Garanti Tipi:,Görüntü Kalitesi:,HDMI:,Hard Disk Kapasitesi:,Kapasite:,Klavye:,Kullanım Amacı:,Optik Sürücü Tipi:,Optik Sürücü:,Panel Tipi:,Ram (Sistem Belleği):,Renk:,SSD Kapasitesi:,Web Color:,Çözünürlük Standartı:,Çözünürlük:,İşlemci Frekansı:,İşlemci Hızı (GHz):,İşlemci Modeli:,İşlemci Nesli:,İşlemci Tipi:,İşlemci Çekirdek Sayısı:,İşletim Sistemi:,Şarjlı Kullanım Süresi:,url,price
16 GB,,,2 - 4 kg,Yok,"15,6 inç",DDR4,6 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia Geforce GTX1660 Ti,,Distribütör Garantili,,,,1 TB,Aydınlatmalı,Oyun,Yok,,,8 GB,,256 GB,,,1920 x 1080,,,3750H,Ryzen,AMD Ryzen 7,4,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//hp/15-ec0020nt-amd-ryzen-7-3750h-8gb-1tb-256gb-ssd-gtx1660ti-freedos-15-6-fhd-9et67ea-p-35025683,8.829 TL
,,,2 kg ve Altı,Yok,14 inç,DDR4,Paylaşımlı,Dahili,Intel UHD Graphics 620,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,512 GB,,,1920 x 1080,,,1035G1,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad3-81wd00fgtx-intel-i5-1035g1-8gb-512gb-ssd-14-fdos-p-49009201,7.099 TL
,,USB,2 kg ve Altı,,14 inç,,Paylaşımlı,Dahili,AMD Radeon Vega 8,,Distribütör Garantili,,,,512 GB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gümüş,512 GB,,Full HD (FHD),1920 x 1080,,,3500U,Ryzen,AMD Ryzen 5,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//huawei/matebook-d-14-amd-ryzen-5-3500u-8gb-512gb-ssd-windows-10-home-14-fhd-tasinabilir-bilgisayar-p-40264887,7.999 TL
,,HDMI,2 kg ve Altı,,14 inç,GDDR5,4 GB,Harici,Nvidia GeForce MX250,,Distribütör Garantili,,,,Yok,Aydınlatmalı,Ofis - İş,Yok,,IPS,16 GB,Beyaz,512 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,1 - 2,1065G7,10. Nesil,Intel Core i7,4,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//hp/pavilion-14-ce3006nt-intel-core-i7-1065g7-16gb-512gb-ssd-mx250-4gb-freedos-14-fhd-3h909ea-p-40149750,8.999 TL
,,HDMI,2 kg ve Altı,Yok,"15,6 inç",DDR,Paylaşımlı,Dahili,Intel HD Graphics,HD,Distribütör Garantili,,Var,1 TB,1 TB,Q Türkçe,Ofis - İş,DVD Yazıcı,DVD Yazıcı,,4 GB,Siyah,Yok,,,1366 x 768,,1 - 2,1005G1,10. Nesil,Intel Core i3,4,Free Dos,,https://www.trendyol.com//hp/250-g7-197p6ea-uma-i3-1005g1-15-6-4gb-1tb-freedos-p-48357483,4.839 TL
16 GB,,HDMI,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Oyun,Yok,,IPS,8 GB,Gri,512 GB,,Full HD (FHD),1920 x 1080,,2 - 3,10300H,10. Nesil,Intel Core i5,4,Free Dos,4 - 6 Saat,https://www.trendyol.com//lenovo/ideapad-gaming-3-15imh05-intel-core-i5-10300h-8gb-512gb-ssd-gtx1650-freedos-15-6-fhd-81y400datx-p-46156407,8.599 TL
,,,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,AMD Radeon Vega 8,Full HD,Distribütör Garantili,,,,512 GB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gümüş,512 GB,,,1920 x 1080,,,3500U,10. Nesil,AMD Ryzen 5,4,Free Dos,,https://www.trendyol.com//hp/15s-eq0013nt-amd-ryzen-5-3500u-8gb-512-ssd-3h930ea-15-6-freedos-dizustu-bilgisayar-p-57392098,6.179 TL
,,,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,4 GB,Siyah,256 GB,,,1920 x 1080,,,5200U,5. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//i-life-digital/i-life-il-zed-air-cx5-intel-i5-5257u-4gb-256gb-ssd-15-6-win10h-p-58957796,3.999 TL
,,,2 kg ve Altı,Yok,14 inç,DDR4,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,,,1035G1,10. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/v14-82c400a8tx-i5-1035g1-8gb-256gb-ssd-14-w10-home-fhd-p-50515347,7.199 TL
,,,2 - 4 kg,Var,14 inç,DDR3,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Siyah,512 GB,,,1920 x 1080,,,7500U,7. Nesil,AMD Ryzen 7,2,Windows,,https://www.trendyol.com//toshiba/toshiba-tecra-x40-d-162-i7-7500u-16gb-512gb-ssd-14-touch-win10-pro-dizustu-bilgisayar-p-57587822,15.001 TL
